"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,Wohin gehst du? - Uni (best.),Ich gehe in die Uni.,Ich gjhe in die Uni.,Ich gehe in dve Uni.,qch gehe in die Uni.,10,1
2,Wohin gehst du? - Küche (best.),Ich gehe in die Küche.,Ich gehe id die Küche.,Ich yehe in die Küche.,Ich gehe in die Kücae.,10,1
3,Wohin gehst du? - Zimmer (best.),Ich gehe in das Zimmer.,Ihh gehe in das Zimmer.,Ich gefe in das Zimmer.,Icn gehe in das Zimmer.,10,1
4,Wohin gehst du? - Supermarkt (best.),Ich gehe in den Supermarkt.,Ich gehs in den Supermarkt.,Ich gehe in den Sopermarkt.,Ich gehe in den Supermarlt.,10,1
5,Wohin geht er? - Uni (best.),Er geht in die Uni.,Er geht in die Uei.,ar geht in die Uni.,Er geht in die Uqi.,10,1
6,Wohin gehen wir? - Uni (best.),Wir gehen in die Uni.,Wir gehen un die Uni.,Wir gehen in dit Uni.,Wkr gehen in die Uni.,10,1
7,Wohin fährst du? - Stadt (best.),Ich fahre in die Stadt.,Ich fahrl in die Stadt.,Ich fahre in die Stadv.,Ich fahre in die Stddt.,10,1
8,Wohin fahrt ihr? - Türkei (best.),Wir fahren in die Türkei.,rir fahren in die Türkei.,Wir fahren in die Türkeij,Wir fahren in die Türeei.,10,1
9,Wohin fahrt ihr? - Uni (best.),Wir fahren in die Uni.,Wik fahren in die Uni.,Wir fahrev in die Uni.,Wsr fahren in die Uni.,10,1
10,Wohin gehst du? - Raum (best.),Ich gehe in den Raum.,Ich gehe iv den Raum.,tch gehe in den Raum.,Ich gshe in den Raum.,10,1
11,Wohin fährst du? - Urlaub (best.),Ich fahre in den Urlaub.,Ich tahre in den Urlaub.,Ish fahre in den Urlaub.,Ich faure in den Urlaub.,10,1
12,Wohin gehst du? - Wohnung (best.),Ich gehe in die Wohnung.,Ich yehe in die Wohnung.,Iyh gehe in die Wohnung.,Ich gehe in die Wohnungt,10,1
