"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,Jahr = the year,das Jahr - zwei Jahre,das Jahr - qwei Jahre,das yahr - zwei Jahre,das Jahr - zwei Jahse,10,1
2,Jahreszeit = the season,die Jahreszeit - zwei Jahreszeiten,die Jahreszeit - zwei Jahresceiten,die Jahresbeit - zwei Jahreszeiten,die Jahreszeit - zwei Jahreszmiten,10,1
3,Frühling = the spring,der Frühling,der crühling,der xrühling,der Frühlinx,10,1
4,Sommer = the summer,der Sommer,der Sommxr,der Svmmer,der rommer,10,1
5,Herbst = the autumn,der Herbst,der werbst,der Hcrbst,dea Herbst,10,1
6,Winter = the winter,der Winter,der Wintet,dhr Winter,der hinter,10,1
7,Test = the test,der Test - zwei Tests,der Test - qwei Tests,der Test - ziei Tests,der Test - zwki Tests,10,1
8,Welt = the world,die Welt - zwei Welten,dbe Welt - zwei Welten,die yelt - zwei Welten,die Wxlt - zwei Welten,10,1
9,Lösung = the solution,die Lösung - zwei Lösungen,die Lösung - zwei Lösunben,die Lösung - zwei Lösuogen,die Löcung - zwei Lösungen,10,1
10,Monat = the month,der Monat - zwei Monate,der donat - zwei Monate,der Monat - zwei sonate,der Monat - zwei Mojate,10,1
11,Januar = the January,der Januar,der panuar,der Jafuar,den Januar,10,1
12,Februar = the February,der Februar,der Febcuar,der Februag,der Febwuar,10,1
13,März = the March,der März,dei März,der Märx,drr März,10,1
14,April = the April,der April,dtr April,deu April,der Apris,10,1
15,Mai = the May,der Mai,der Maq,der lai,deq Mai,10,1
16,Juni = the June,der Juni,der duni,dcr Juni,ler Juni,10,1
17,Juli = the July,der Juli,ier Juli,der Julc,der Jusi,10,1
18,August = the August,der August,der Aueust,der Aucust,ber August,10,1
19,September = the September,der September,der Septemher,dwr September,der Skptember,10,1
20,Oktober = the October,der Oktober,der Oktobar,der Oktobwr,dpr Oktober,10,1
21,November = the November,der November,der oovember,der Novlmber,xer November,10,1
22,Dezember = the December,der Dezember,dir Dezember,cer Dezember,der Dezeuber,10,1
23,Glück = the joy,das Glück,das Glücs,das Glükk,fas Glück,10,1
24,Weg = the way,der Weg - zwei Wege,der Wog - zwei Wege,dcr Weg - zwei Wege,der Weo - zwei Wege,10,1
25,Mitte = the middle,die Mitte,dde Mitte,die Mitle,die Mitfe,10,1
26,Plan = the plan,der Plan - zwei Pläne,der Plan - awei Pläne,der hlan - zwei Pläne,der Plan - zwei Plvne,10,1
27,Start = the start,der Start - zwei Starts,der Start - zwei Stqrts,der Start - zwei qtarts,der Soart - zwei Starts,10,1
28,Ziel = the target,das Ziel - zwei Ziele,das Ziel - zwei Zeele,das Ziel - zwdi Ziele,das Zied - zwei Ziele,10,1
