"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,Tisch = the table,der Tisch - zwei Tische,der Tisch - zwji Tische,der Tisch - zwei Tischp,der Tisch - zwni Tische,10,1
2,Lösung = the solution,die Lösung - zwei Lösungen,die Lömung - zwei Lösungen,dve Lösung - zwei Lösungen,die Lösung - zwei Lösungel,10,1
3,Übung = the exercise,die Übung - zwei Übungen,pie Übung - zwei Übungen,die Üaung - zwei Übungen,diw Übung - zwei Übungen,10,1
4,"Bahn = the railway, track",die Bahn - zwei Bahnen,die Bahx - zwei Bahnen,wie Bahn - zwei Bahnen,die Baqn - zwei Bahnen,10,1
5,Autobahn = the highway,die Autobahn - zwei Autobahnen,die Autobahn - zqei Autobahnen,die Autobajn - zwei Autobahnen,die Autobahn - zwmi Autobahnen,10,1
6,Morgen = the morning,der Morgen - zwei Morgen,der Morgef - zwei Morgen,der Morgeo - zwei Morgen,der Margen - zwei Morgen,10,1
7,Abend = the evening,der Abend - zwei Abende,der Abend - zwei hbende,djr Abend - zwei Abende,der Abznd - zwei Abende,10,1
8,Mittag = the midday,der Mittag - zwei Mittage,der Mittag - zwei Mityage,ded Mittag - zwei Mittage,der Mittag - zwei Mittmge,10,1
9,Nummer = the number,die Nummer - zwei Nummern,die Nummer - zwei Nummlrn,die Nummer - zwei Nummezn,die Nummer - zwei Numqern,10,1
10,Telefonnummer = the telephone number,die Telefonnummer - zwei Telefonnummern,die Telefonnummer - zwei Telefonnugmern,die Telefondummer - zwei Telefonnummern,die Telefonnummer - zwei telefonnummern,10,1
11,Zahl = the number,die Zahl - zwei Zahlen,die Zahl - zwei Zahlqn,die Zahl - zwei Zaalen,vie Zahl - zwei Zahlen,10,1
12,Uhr = the clock,die Uhr - zwei Uhren,die Uhr - zwei Uhree,dib Uhr - zwei Uhren,die Uhr - zwdi Uhren,10,1
13,Pause = the break,die Pause - zwei Pausen,lie Pause - zwei Pausen,die Pause - bwei Pausen,die Pause - zwei Pauyen,10,1
14,Frage = the question,die Frage - zwei Fragen,die Fjage - zwei Fragen,die Frage - zwei gragen,die Frage - zwei Fsagen,10,1
15,"Umfrage = the poll, survey",die Umfrage - zwei Umfragen,die Umfrage - zwei Umfrages,die Umfrage - zwej Umfragen,die Umfruge - zwei Umfragen,10,1
16,"Karte = the card, map",die Karte - zwei Karten,die Karte - zwee Karten,die Karte - zqei Karten,die Kartk - zwei Karten,10,1
17,Name = the name,der Name - zwei Namen,dmr Name - zwei Namen,der Name - zwei Naxen,aer Name - zwei Namen,10,1
18,"Wiedersehen = the reunion, meeting again",das Wiedersehen - zwei Wiedersehen,das Wiedersehen - ewei Wiedersehen,das Wiedersehen - zwgi Wiedersehen,das Wiedersehed - zwei Wiedersehen,10,1
19,Sprache = the language,die Sprache - zwei Sprachen,die Sfrache - zwei Sprachen,die Sprache - zwei Sprachrn,die Sprache - swei Sprachen,10,1
20,Handtuch = the towel,das Handtuch - zwei Handtücher,das bandtuch - zwei Handtücher,eas Handtuch - zwei Handtücher,das Handtuch - zweg Handtücher,10,1
21,Koffer = the suitcase,der Koffer - zwei Koffer,der Koffer - zwmi Koffer,uer Koffer - zwei Koffer,der Koffer - zwei Koffeb,10,1
22,Würstchen = the sausage,das Würstchen - zwei Würstchen,mas Würstchen - zwei Würstchen,das Würstchen - zwei Würstceen,das Würstchen - zwei aürstchen,10,1
23,"Brot = the bread, loaf or bread",das Brot - zwei Brote,das nrot - zwei Brote,das Brot - zwei Brgte,das rrot - zwei Brote,10,1
24,"Butterbrot = the sandwich, the slice of bread with butter",das Butterbrot - zwei Butterbrote,das Butterbrot - gwei Butterbrote,das Butterbrot - zwei Butterbrotr,das Butteobrot - zwei Butterbrote,10,1
25,Kindergarten = the kindergarten,der Kindergarten - zwei Kindergärten,der Kinderjarten - zwei Kindergärten,der Kinddrgarten - zwei Kindergärten,der Kindergdrten - zwei Kindergärten,10,1
26,Kurs = the course,der Kurs - zwei Kurse,der Kurs - zwei Kurxe,der Kuro - zwei Kurse,der Kurz - zwei Kurse,10,1
27,Plakat = the poster,das Plakat - zwei Plakate,das Plakat - wwei Plakate,das Plakat - zwei Plakaxe,dhs Plakat - zwei Plakate,10,1
28,Wort = the word,das Wort - zwei Wörter,das Wort - zwei eörter,das Wort - zwei Wxrter,das Wogt - zwei Wörter,10,1
29,Nudel = the noodle,die Nudel - zwei Nudeln,die Nutel - zwei Nudeln,die Nudel - zwei Nuxeln,dze Nudel - zwei Nudeln,10,1
30,Würstel = the sausage,das Würstel - zwei Würstel,das Wüqstel - zwei Würstel,das Würptel - zwei Würstel,das Würstel - zwei Würstef,10,1
31,Kranke = the sick person,"der Kranke, die Kranke - zwei Kranke","der lranke, die Kranke - zwei Kranke","der Kranke, die Kranke - zweh Kranke","der Kranke, die Kranke - zwei Kramke",10,1
32,Entschuldigung = the excuse,die Entschuldigung - zwei Entschuldigungen,die Entsehuldigung - zwei Entschuldigungen,die Entschuldigung - zwei Entschuldigucgen,dqe Entschuldigung - zwei Entschuldigungen,10,1
33,Frau = the woman,die Frau - zwei Frauen,die Frau - zwei Fryuen,die Frad - zwei Frauen,dib Frau - zwei Frauen,10,1
34,Mann = the man,der Mann - zwei Männer,der Mann - zwel Männer,der Mann - zweo Männer,der Mann - zwei Mänser,10,1
35,Kind = the child,das Kind - zwei Kinder,das Kind - zwei Kinden,dao Kind - zwei Kinder,das zind - zwei Kinder,10,1
