Ich habe einen Freund.                <br>  ((( ⠀⠀⠀Freund)))       ist in Japan.§ (((Mein Freund))) ist in Japan., = **My friend** is in Japan.
Du hast einen Freund.                 <br>  ((( ⠀⠀⠀Freund)))       ist intelligent.§ (((Dein Freund))) ist intelligent., = **Your friend** is smart.
Er hat einen Freund.                  <br>  ((( ⠀⠀⠀Freund)))       ist bekannt.§ (((Sein Freund))) ist bekannt., = **His friend** is famous.
Sie hat einen Freund.                 <br>  ((( ⠀⠀⠀Freund)))       ist in Vietnam.§ (((Ihr Freund)))) ist in Vietnam., = **Her friend** is in Vietnam.
Ich habe eine Freundin.               <br>  ((( ⠀⠀⠀Freundin)))     ist in Argentinien.§ (((Meine Freundin)))) ist in Argentinien., = **My friend** is in Argentina.
Ich habe Freunde.                     <br>  ((( ⠀⠀⠀Freunde)))      heißen Peter und Klaus.§ (((Meine Freunde))) heißen Peter und Klaus., = **My friends** are called Peter and Klaus.
Ich habe eine Schwester.              <br>  ((( ⠀⠀⠀Schwester)))    heißt Susi.§ (((Meine Schwester))) heißt Susi., = **My sister** is called Susi.
Ich habe einen Bruder.                <br>  ((( ⠀⠀⠀Bruder)))       heißt Armin.§ (((Mein Bruder))) heißt Armin., = **My brother** is called Armin.
Ich habe zwei Freunde.                <br>  ((( ⠀⠀⠀Freunde)))      leben in der Schweiz.§ (((Meine Freunde))) leben in der Schweiz., = **My friends** live in Switzerland.
Ich habe zwei Brüder.                 <br>  ((( ⠀⠀⠀Brüder)))       heißen Ben und Paul.§ (((Meine Brüder))) heißen Ben und Paul., = **My brothers** are called Ben and Paul.
Ich habe zwei Schwestern.             <br>  ((( ⠀⠀⠀Schwestern)))   heißen Anna und Nina.§ (((Meine Schwestern))) heißen Anna und Nina., = **My sisters** are called Anna and Nina.
Ich habe zwei Geschwister.            <br>  ((( ⠀⠀⠀Geschwister)))  wohnen in Norwegen.§ (((Meine Geschwister))) wohnen in Norwegen., = **My siblings** live in Norway.
Er hat zwei Geschwister.              <br>  ((( ⠀⠀⠀Geschwister)))  studieren Medizin.§ (((Seine Geschwister))) studieren Medizin., = **His siblings** study medicine.
Sie hat zwei Geschwister.             <br>  ((( ⠀⠀⠀Geschwister)))  heißen Rolf und Rosi.§ (((Ihre Geschwister))) heißen Rolf und Rosi., = **Her siblings** are called Rolf and Rosi.
Wir haben zwei Töchter.               <br>  ((( ⠀⠀⠀Töchter)))      sind 12 und 15 Jahre alt.§ (((Unsere Töchter))) sind 12 und 15 Jahre alt., = **Our daughters** are 12 and 15 years old.
Wir haben zwei Söhne.                 <br>  ((( ⠀⠀⠀Söhne)))        heißen Tom und Jannik.§ (((Unsere Söhne))) heißen Tom und Jannik., = **Our sons** are called Tom and Jannik.
Ihr habt zwei Töchter.                <br>  ((( ⠀⠀⠀Töchter)))      sind in Australien.§ (((Eure Töchter))) sind in Australien., = **Your daughters** are in Australia.
Der Student hat zwei Geschwister.     <br>  ((( ⠀⠀⠀Geschwister)))  heißen Jan und Tina.§ (((Seine Geschwister))) heißen Jan und Tina., = **His siblings** are called Jan and Tina.
Die Studentin hat zwei Geschwister.   <br>  ((( ⠀⠀⠀Geschwister)))  heißen Peter und Tina.§ (((Ihre Geschwister))) heißen Peter und Tina., = **His siblings** are called Peter and Tina.
